RNASeq_R1	RNASeq_R2	fastq
20210611T1400_CBASS_US_MoteOffN_Acer_41_33_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_33_750_RNASeq_R2	RE170
20210611T1400_CBASS_US_MoteOffN_Acer_48_33_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_33_750_RNASeq_R2	RE171
20210611T1400_CBASS_US_MoteOffN_Acer_50_33_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_33_750_RNASeq_R2	RE172
20210611T1400_CBASS_US_MoteOffN_Acer_62_33_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_33_750_RNASeq_R2	RE173
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_750_RNASeq_R2	RE174
20210611T1400_CBASS_US_MoteOffN_Acer_7_35_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_35_750_RNASeq_R2	RE175
20210611T1400_CBASS_US_MoteOffN_Acer_31_35_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_35_750_RNASeq_R2	RE176
20210611T1400_CBASS_US_MoteOffN_Acer_34_35_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_35_750_RNASeq_R2	RE177
20210611T1400_CBASS_US_MoteOffN_Acer_41_35_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_35_750_RNASeq_R2	RE178
20210611T1400_CBASS_US_MoteOffN_Acer_48_35_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_35_750_RNASeq_R2	RE179
20210611T1400_CBASS_US_MoteOffN_Acer_50_35_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_35_750_RNASeq_R2	RE180
20210611T1400_CBASS_US_MoteOffN_Acer_62_35_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_35_750_RNASeq_R2	RE181
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_750_RNASeq_R2	RE182
20210611T1400_CBASS_US_MoteOffN_Acer_7_37_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_37_750_RNASeq_R2	RE183
20210611T1400_CBASS_US_MoteOffN_Acer_31_37_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_37_750_RNASeq_R2	RE184
20210611T1400_CBASS_US_MoteOffN_Acer_34_37_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_37_750_RNASeq_R2	RE185
20210611T1400_CBASS_US_MoteOffN_Acer_41_37_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_37_750_RNASeq_R2	RE186
20210611T1400_CBASS_US_MoteOffN_Acer_48_37_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_37_750_RNASeq_R2	RE187
20210611T1400_CBASS_US_MoteOffN_Acer_50_37_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_37_750_RNASeq_R2	RE188
20210611T1400_CBASS_US_MoteOffN_Acer_62_37_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_37_750_RNASeq_R2	RE189
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_750_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_750_RNASeq_R2	RE190
20210611T1400_CBASS_US_MoteOffN_Acer_7_30_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_30_1140_RNASeq_R2	RE191
20210611T1400_CBASS_US_MoteOffN_Acer_31_30_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_30_1140_RNASeq_R2	RE192
20210611T1400_CBASS_US_MoteOffN_Acer_34_30_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_30_1140_RNASeq_R2	RE193
20210611T1400_CBASS_US_MoteOffN_Acer_41_30_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_30_1140_RNASeq_R2	RE194
20210611T1400_CBASS_US_MoteOffN_Acer_48_30_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_30_1140_RNASeq_R2	RE195
20210611T1400_CBASS_US_MoteOffN_Acer_50_30_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_30_1140_RNASeq_R2	RE196
20210611T1400_CBASS_US_MoteOffN_Acer_62_30_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_30_1140_RNASeq_R2	RE197
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_30_1140_RNASeq_R2	RE198
20210611T1400_CBASS_US_MoteOffN_Acer_7_33_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_33_1140_RNASeq_R2	RE199
20210611T1400_CBASS_US_MoteOffN_Acer_31_33_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_33_1140_RNASeq_R2	RE200
20210611T1400_CBASS_US_MoteOffN_Acer_34_33_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_33_1140_RNASeq_R2	RR143
20210611T1400_CBASS_US_MoteOffN_Acer_41_33_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_33_1140_RNASeq_R2	RR144
20210611T1400_CBASS_US_MoteOffN_Acer_48_33_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_33_1140_RNASeq_R2	RR145
20210611T1400_CBASS_US_MoteOffN_Acer_50_33_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_33_1140_RNASeq_R2	RR146
20210611T1400_CBASS_US_MoteOffN_Acer_62_33_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_33_1140_RNASeq_R2	RR147
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_33_1140_RNASeq_R2	RR148
20210611T1400_CBASS_US_MoteOffN_Acer_7_35_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_35_1140_RNASeq_R2	RR149
20210611T1400_CBASS_US_MoteOffN_Acer_31_35_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_35_1140_RNASeq_R2	RR150
20210611T1400_CBASS_US_MoteOffN_Acer_34_35_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_35_1140_RNASeq_R2	RR151
20210611T1400_CBASS_US_MoteOffN_Acer_41_35_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_35_1140_RNASeq_R2	RR152
20210611T1400_CBASS_US_MoteOffN_Acer_48_35_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_35_1140_RNASeq_R2	RR153
20210611T1400_CBASS_US_MoteOffN_Acer_50_35_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_35_1140_RNASeq_R2	RR154
20210611T1400_CBASS_US_MoteOffN_Acer_62_35_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_35_1140_RNASeq_R2	RR155
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_35_1140_RNASeq_R2	RR156
20210611T1400_CBASS_US_MoteOffN_Acer_7_37_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_7_37_1140_RNASeq_R2	RR157
20210611T1400_CBASS_US_MoteOffN_Acer_31_37_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_31_37_1140_RNASeq_R2	RR158
20210611T1400_CBASS_US_MoteOffN_Acer_34_37_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_34_37_1140_RNASeq_R2	RR159
20210611T1400_CBASS_US_MoteOffN_Acer_41_37_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_41_37_1140_RNASeq_R2	RR160
20210611T1400_CBASS_US_MoteOffN_Acer_48_37_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_48_37_1140_RNASeq_R2	RR161
20210611T1400_CBASS_US_MoteOffN_Acer_50_37_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_50_37_1140_RNASeq_R2	RR162
20210611T1400_CBASS_US_MoteOffN_Acer_62_37_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_62_37_1140_RNASeq_R2	RR163
20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_1140_RNASeq_R1	20210611T1400_CBASS_US_MoteOffN_Acer_CM5_37_1140_RNASeq_R2	RR164
