Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17799152.0	0.0	20-150	49.0	14.538984497941593	147.93801575490787	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_37_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17799152.0	0.0	20-150	49.0	15.848116251465699	147.97340912645726	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15251968.0	0.0	20-150	49.0	7.523628872317982	145.6552212147311	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_37_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15251968.0	0.0	20-150	49.0	8.006125472739953	145.6200860767607	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15476473.0	0.0	20-150	45.0	16.593726198751067	148.41345175997142	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_37_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15476473.0	0.0	20-150	46.0	17.708271624135346	148.35622257086612	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16887426.0	0.0	20-150	46.0	22.908668908174516	148.5324756419362	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_37_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16887426.0	0.0	20-150	46.0	24.2826283672262	148.494640094944	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11725039.0	0.0	20-150	47.0	31.69185502576935	148.57210590088442	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_37_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11725039.0	0.0	20-150	47.0	32.98763972046403	148.53008139247981	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19711941.0	0.0	20-150	55.0	4.924462124696443	138.06115430235917	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_39_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19711941.0	0.0	20-150	55.0	6.168089803470676	138.04042864170503	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23124244.0	0.0	20-150	49.0	1.663106913583486	82.4874515681464	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_39_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23124244.0	0.0	20-150	49.0	1.9596849612108118	82.4636245837918	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14707616.0	0.0	20-150	49.0	4.061359781271766	147.97030463672698	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_39_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14707616.0	0.0	20-150	49.0	5.811804789279675	147.89773835542076	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20282867.0	0.0	20-150	48.0	2.8561036676679645	147.2470741439068	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_39_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20282867.0	0.0	20-150	48.0	3.82532376716593	147.21841039533513	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20923201.0	0.0	20-150	40.0	9.449165558105069	148.03005051664897	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_39_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20923201.0	0.0	20-150	40.0	10.37407436028627	147.94880711608133	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19200008.0	0.0	20-150	49.0	5.280619956811164	135.3186250755729	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_T0_0_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19200008.0	0.0	20-150	49.0	5.655663399376038	135.2846647251397	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19264602.0	0.0	20-150	50.0	5.229015759052894	148.29068236135893	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_8_only_seq_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19264602.0	0.0	20-150	50.0	6.088867326420425	148.23759686288872	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26599221.0	0.0	20-150	48.0	13.967167235946864	148.68284014783742	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_30_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26599221.0	0.0	20-150	48.0	15.374429263220385	148.6264578951391	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20922147.0	0.0	20-150	49.0	4.546430776666925	141.6849412729965	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_30_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20922147.0	0.0	20-150	49.0	5.240769963921096	141.64261244316847	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16756614.0	0.0	20-150	51.0	3.067852163952687	147.64643459591537	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_30_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16756614.0	0.0	20-150	51.0	3.818319558612731	147.60897476065273	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14378515.0	0.0	20-150	49.0	12.28838922466228	148.63545706910622	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_30_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14378515.0	0.0	20-150	49.0	13.329021608729914	148.59434823415353	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15949853.0	0.0	20-150	50.0	6.320767484850006	148.55776006211468	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_30_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15949853.0	0.0	20-150	50.0	7.416260889999342	148.5151346535921	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21746642.0	0.0	20-150	49.0	8.203959290543768	148.6345360814787	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_34_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21746642.0	0.0	20-150	49.0	9.218046815538854	148.59291880557927	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17610455.0	0.0	20-150	47.0	17.862248846241112	140.94270965741657	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17610455.0	0.0	20-150	47.0	18.42552416823178	140.9064681179447	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18891686.0	0.0	20-150	47.0	13.91826115546504	148.5938591187679	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18891686.0	0.0	20-150	47.0	14.728799043697109	148.54514758502762	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17031853.0	0.0	20-150	47.0	17.8365528986798	148.33280571409347	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17031853.0	0.0	20-150	47.0	18.811677399805042	148.29223690458107	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18110358.0	0.0	20-150	49.0	15.455350696456197	148.63977978789816	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18110358.0	0.0	20-150	49.0	16.772823211734494	148.59345756721098	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19345166.0	0.0	20-150	50.0	8.380358776984027	147.9144967791954	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19345166.0	0.0	20-150	50.0	9.623786149062752	147.93696027214241	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17478240.0	0.0	20-150	49.0	6.5652034281185365	144.55789558902956	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17478240.0	0.0	20-150	49.0	7.342741213288741	144.5151499807761	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17728115.0	0.0	20-150	48.0	8.583477413938555	148.6500574370146	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17728115.0	0.0	20-150	48.0	9.509727087820345	148.61209254339786	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13321946.0	0.0	20-150	45.0	15.687675266101712	148.29443085867484	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13321946.0	0.0	20-150	45.0	16.677055706014407	148.27279070189897	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20346457.0	0.0	20-150	45.0	20.481857964869725	148.50204062554968	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20346457.0	0.0	20-150	45.0	21.44771235524924	148.46641624141245	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19824934.0	0.0	20-150	53.0	1.3416115462538016	116.84367882384879	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19824934.0	0.0	20-150	53.0	2.5896309080982878	116.82590232078452	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20474542.0	0.0	20-150	48.0	2.5987122807263163	97.87200553741324	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20474542.0	0.0	20-150	48.0	3.094885405116141	97.85156278465227	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15241762.0	0.0	20-150	49.0	4.029287700169729	148.18051922080926	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15241762.0	0.0	20-150	49.0	5.986019537917334	148.1071824241843	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8964352.0	0.0	20-150	56.0	2.326302772662385	142.35172982944	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8964352.0	0.0	20-150	56.0	4.091601696335255	142.39876356930205	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19635925.0	0.0	20-150	39.0	11.514891457586684	147.95367954399907	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19635925.0	0.0	20-150	40.0	12.22837165364163	147.8388092234005	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20652251.0	0.0	20-150	47.0	21.51233216372316	146.91660211760936	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20652251.0	0.0	20-150	47.0	22.43872175683232	146.87683274815902	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R1_val_1	20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16631475.0	0.0	20-150	47.0	7.853823421769744	147.28888604287954	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R2_val_2	20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16631475.0	0.0	20-150	47.0	8.783861792901597	147.23603372521077	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R1_val_1	20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21792183.0	0.0	20-150	52.0	3.1343494937336827	134.7464058098264	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R2_val_2	20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21792183.0	0.0	20-150	52.0	4.519764598315492	134.7042908000543	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R1_val_1	20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13805031.0	0.0	20-150	49.0	9.095264162586995	148.34054425520668	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R2_val_2	20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13805031.0	0.0	20-150	49.0	10.515574077291987	148.2937586304587	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R1_val_1	20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22662798.0	0.0	20-150	51.0	2.4932819455455557	136.29329644115435	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R2_val_2	20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22662798.0	0.0	20-150	51.0	3.286886739269694	136.22690322704196	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R1_val_1	20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10659639.0	0.0	20-150	50.0	3.518753160352206	147.7250095430061	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R2_val_2	20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10659639.0	0.0	20-150	50.0	5.225907875564301	147.6981688591893	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
